City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Lively,CA,2021-01-14 12:36:49,46.4334,-81.1498,30.99,86,90,9.22
223,Xinyu,CN,2021-01-14 12:36:49,27.8043,114.9334,53.46,42,0,1.48
224,Trelew,AR,2021-01-14 12:36:49,-43.249,-65.3051,77.2,39,100,26.42
225,Sarangani,PH,2021-01-14 12:36:50,5.4033,125.4636,83.95,69,0,1.14
226,Bud,US,2021-01-14 12:36:50,39.447,-86.1758,30.99,86,1,5.75
227,Alofi,NU,2021-01-14 12:31:56,-19.0595,-169.9187,75.2,100,97,3.44
228,Srednekolymsk,RU,2021-01-14 12:36:50,67.45,153.6833,-16.87,88,100,6.62
229,Pemangkat,ID,2021-01-14 12:36:50,1.1667,108.9667,76.91,88,100,5.57
230,Tromso,NO,2021-01-14 12:36:51,69.6496,18.957,30.2,93,75,12.66
231,Fortuna,US,2021-01-14 12:32:17,40.5982,-124.1573,52.0,100,1,9.22
232,Smithers,CA,2021-01-14 12:36:51,54.7804,-127.1743,19.4,86,40,2.3
233,Flinders,AU,2021-01-14 12:34:52,-34.5833,150.8552,68.0,88,63,3.0
234,Lalian,PK,2021-01-14 12:36:52,31.8241,72.7997,59.83,32,100,1.59
235,Waw,SS,2021-01-14 12:36:52,7.7029,27.9953,101.64,9,34,4.29
236,Seoul,KR,2021-01-14 12:28:55,37.5683,126.9778,32.0,51,0,3.44
237,Port Augusta,AU,2021-01-14 12:36:53,-32.5,137.7667,64.4,68,40,18.41
238,Touros,BR,2021-01-14 12:32:32,-5.1989,-35.4608,82.4,78,40,11.5
239,Namie,JP,2021-01-14 12:35:02,37.4833,141.0,41.0,69,75,12.66
240,Provideniya,RU,2021-01-14 12:32:52,64.3833,-173.3,-0.94,89,81,8.08
241,Adrar,MR,2021-01-14 12:36:54,20.5022,-10.0711,73.74,18,0,17.65
242,Korla,CN,2021-01-14 12:32:48,41.7597,86.1469,24.03,82,0,12.71
243,Allada,BJ,2021-01-14 12:36:54,6.6655,2.1514,87.8,66,40,12.66
244,Caluquembe,AO,2021-01-14 12:36:54,-13.7833,14.6833,73.9,39,24,9.37
245,Arlit,NE,2021-01-14 12:36:55,18.7369,7.3853,86.85,12,0,5.66
246,Kahului,US,2021-01-14 12:32:43,20.8947,-156.47,70.0,77,1,11.54
247,Vestmannaeyjar,IS,2021-01-14 12:30:52,63.4427,-20.2734,41.0,81,20,17.27
248,Mubi,NG,2021-01-14 12:36:55,10.2676,13.2644,91.96,10,64,8.1
249,Norman Wells,CA,2021-01-14 12:32:27,65.282,-126.8329,1.4,85,90,1.7
250,Iisalmi,FI,2021-01-14 12:36:56,63.5592,27.1907,-9.4,70,0,3.44
251,Yatou,CN,2021-01-14 12:36:56,37.15,122.3833,41.18,92,100,13.51
252,Marovoay,MG,2021-01-14 12:36:56,-16.1,46.6333,87.8,74,20,17.27
253,Pangnirtung,CA,2021-01-14 12:33:10,66.1451,-65.7125,-16.6,76,20,0.38
