City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Lulea,SE,65.5842,22.1547,1.4,85,78,1.14,broken clouds
226,Viedma,AR,-40.8135,-62.9967,54.77,73,0,10.54,clear sky
227,Coromandel,BR,-18.4733,-47.2003,62.73,97,100,3.27,light rain
228,Hope,US,33.6671,-93.5916,42.01,67,96,3.91,overcast clouds
229,Vilhena,BR,-12.7406,-60.1458,70.39,95,100,4.27,light rain
230,Farah,AF,32.5,62.5,58.86,24,0,1.16,clear sky
231,Talara,PE,-4.5772,-81.2719,73.58,76,100,12.77,overcast clouds
232,Kismayo,SO,-0.3582,42.5454,82.38,68,42,14.0,scattered clouds
233,Kamakhyanagar,IN,20.9333,85.55,80.98,36,0,5.86,clear sky
234,Clarence Town,AU,-32.5833,151.7833,75.2,60,99,11.5,overcast clouds
235,Greensboro,US,36.0726,-79.792,33.01,69,20,6.91,few clouds
236,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,0,3.51,clear sky
237,Aban,RU,56.67,96.06,11.64,95,100,5.88,overcast clouds
238,Lorengau,PG,-2.0226,147.2712,83.66,78,93,12.28,light rain
239,Shingu,JP,33.7333,135.9833,48.2,37,75,20.71,broken clouds
240,Taoudenni,ML,22.6783,-3.9836,52.79,39,85,13.49,overcast clouds
241,Emerald,AU,-23.5333,148.1667,96.8,38,12,12.66,few clouds
242,San Rafael,AR,-34.6177,-68.3301,62.98,40,0,6.08,clear sky
243,Arman,RU,59.7,150.1667,-12.28,86,100,13.56,overcast clouds
244,Gorontalo,ID,0.5412,123.0595,81.97,81,100,4.88,light rain
245,Carnarvon,AU,-24.8667,113.6333,87.8,66,78,19.57,broken clouds
246,Caravelas,BR,-17.7125,-39.2481,73.53,89,100,5.28,overcast clouds
247,Asfi,MA,32.2994,-9.2372,50.92,71,100,11.74,overcast clouds
248,Terrace,CA,54.5163,-128.6035,35.6,93,90,0.81,light rain
249,Verkhnevilyuysk,RU,63.4453,120.3167,-39.78,80,100,5.86,overcast clouds
250,Muros,ES,42.7762,-9.0603,48.0,95,90,3.98,overcast clouds
251,Havelock,US,34.8791,-76.9013,39.99,70,1,11.5,clear sky
252,Fort Atkinson,US,42.9289,-88.8371,30.2,100,90,4.61,overcast clouds
253,Ternate,ID,0.8,127.4,81.97,74,100,4.03,moderate rain
254,Katobu,ID,-4.9408,122.5276,76.84,92,100,4.56,moderate rain
255,Gravdal,NO,68.1214,13.5031,34.65,88,71,6.22,broken clouds
256,Solnechnyy,RU,50.7214,136.6319,-9.11,88,100,2.64,overcast clouds
257,Hengyang,CN,26.8881,112.615,52.57,40,4,11.92,clear sky
258,Hellvik,NO,59.9156,5.781,35.6,87,75,17.27,light snow
259,Ahipara,NZ,-35.1667,173.1667,67.66,86,47,8.5,scattered clouds
260,Upernavik,GL,72.7868,-56.1549,7.7,81,0,7.52,clear sky
261,Wageningen,NL,51.9667,5.6667,35.01,100,90,3.44,overcast clouds
262,Bathsheba,BB,13.2167,-59.5167,77.0,73,40,17.27,scattered clouds
263,Uige,AO,-7.6087,15.0613,69.93,82,100,0.6,overcast clouds
264,Baihar,IN,22.1,80.55,84.4,17,0,3.8,clear sky
265,Pokhara,NP,28.2333,83.9833,66.56,44,65,4.68,broken clouds
266,Jaru,BR,-10.4389,-62.4664,71.98,97,100,1.57,light rain
267,Necochea,AR,-38.5473,-58.7368,62.01,79,92,13.76,overcast clouds
268,Nemuro,JP,43.3236,145.575,19.4,58,75,3.44,broken clouds
269,Oxford,GB,51.7522,-1.256,39.2,93,40,6.91,scattered clouds
270,Kahului,US,20.8947,-156.47,73.4,68,4,7.4,clear sky
271,Cairns,AU,-16.9167,145.7667,78.8,89,75,13.8,light rain
272,Sao Sebastiao,BR,-23.76,-45.4097,76.8,73,100,4.85,overcast clouds
273,Fukue,JP,32.6881,128.8419,39.2,65,75,12.66,broken clouds
274,Mehamn,NO,71.0357,27.8492,35.67,87,100,14.5,overcast clouds
275,Laguna,US,38.421,-121.4238,53.01,87,1,3.44,clear sky
276,The Valley,AI,18.217,-63.0578,77.0,83,40,8.05,scattered clouds
277,Linjiang,CN,41.8069,126.9078,11.73,80,100,9.44,overcast clouds
278,Namibe,AO,-15.1961,12.1522,73.8,68,100,3.42,overcast clouds
279,Vestmanna,FO,62.1564,-7.1664,39.2,93,75,32.21,light rain
280,Najran,SA,17.4924,44.1277,64.4,32,0,1.7,clear sky
281,Nagua,DO,19.3832,-69.8474,68.0,95,100,2.64,overcast clouds
282,Abu Dhabi,AE,24.4667,54.3667,68.0,56,0,5.75,clear sky
283,Ixtapa,MX,20.7,-105.2,68.52,41,100,1.68,overcast clouds
284,Le Port,RE,-20.9373,55.2919,87.8,62,0,23.02,clear sky
285,Esperance,AU,-33.8667,121.9,78.8,38,0,21.85,clear sky
286,Sept-Iles,CA,50.2001,-66.3821,28.4,93,100,14.97,snow
287,Qaanaaq,GL,77.484,-69.3632,2.28,83,0,4.52,clear sky
288,Bumba,CD,2.1833,22.4667,73.72,90,100,1.43,overcast clouds
289,Tura,IN,25.5198,90.2201,76.37,36,0,2.24,clear sky
290,Socorro,US,31.6546,-106.3033,48.0,21,1,6.91,clear sky
291,Hamilton,US,39.1834,-84.5333,35.01,86,90,12.66,overcast clouds
292,Hithadhoo,MV,-0.6,73.0833,81.46,72,96,9.19,overcast clouds
293,Kysyl-Syr,RU,63.8986,122.7617,-39.95,80,100,5.82,overcast clouds
294,Mackay,AU,-21.15,149.2,84.0,78,40,14.97,scattered clouds
295,Saskylakh,RU,71.9167,114.0833,-27.58,84,79,5.82,broken clouds
296,Luderitz,NA,-26.6481,15.1594,68.16,59,0,9.73,clear sky
297,Araouane,ML,18.9048,-3.5265,56.3,33,100,13.71,overcast clouds
298,Marathon,US,44.9,-89.7668,26.6,74,90,6.91,overcast clouds
299,Aksu,CN,41.1231,80.2644,25.54,75,0,1.74,clear sky
300,Tokur,RU,53.1333,132.9,-16.62,90,100,2.33,overcast clouds
301,Castro,BR,-24.7911,-50.0119,65.64,95,100,8.08,moderate rain
302,Haines Junction,CA,60.7522,-137.5108,19.4,93,100,2.48,overcast clouds
303,Krasnoselkup,RU,65.7,82.4667,-11.29,89,100,23.0,light snow
304,Kant,IN,27.8,79.8,69.21,36,0,7.9,clear sky
305,Belaya Gora,RU,68.5333,146.4167,-28.98,85,95,2.77,overcast clouds
306,New Norfolk,AU,-42.7826,147.0587,66.0,62,100,4.0,overcast clouds
307,Puerto Montt,CL,-41.4698,-72.9447,50.0,100,40,6.91,mist
308,Broken Hill,AU,-31.95,141.4333,80.6,26,100,13.8,overcast clouds
309,Mukdahan,TH,16.5833,104.5,80.6,39,40,4.61,scattered clouds
310,Polewali,ID,-3.4324,119.3435,81.99,75,100,6.76,moderate rain
311,Bushehr,IR,28.9684,50.8385,62.6,67,40,6.91,scattered clouds
312,Labuan,MY,5.2767,115.2417,73.4,94,40,2.3,heavy intensity rain
313,Vanderhoof,CA,54.0166,-124.0198,29.07,97,100,4.05,overcast clouds
314,Goure,NE,13.9835,10.2704,64.96,25,0,8.39,clear sky
315,Sao Filipe,CV,14.8961,-24.4956,70.79,73,24,9.17,few clouds
316,Koratla,IN,18.8167,78.7167,85.86,24,0,8.66,clear sky
317,Laplace,US,30.0666,-90.4801,41.0,87,1,3.67,clear sky
318,San Martin,AR,-33.081,-68.4681,64.4,59,0,5.03,clear sky
319,Yorosso,ML,12.3536,-4.7761,64.56,25,100,8.41,overcast clouds
320,San Luis,AR,-33.295,-66.3356,54.52,57,0,2.59,clear sky
321,Neiafu,TO,-18.65,-173.9833,82.4,78,75,4.61,broken clouds
