City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Tiznit,MA,51.28,clear sky,29.5833,-9.5,
364,San Vicente,AR,68.4,heavy intensity rain,-26.6167,-54.1333,Complejo Turístico Farelluk
365,Tuatapere,NZ,53.08,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
367,Coron,PH,82.29,overcast clouds,11.9986,120.2043,Coron Westown Resort
368,Harihar,IN,86.2,clear sky,14.5167,75.8,Akbar Aluminyam
369,Alindao,CF,83.59,clear sky,5.0267,21.2088,OCHA Alindao
371,Riyadh,SA,71.6,clear sky,24.6877,46.7219,InterContinental Riyadh
375,Gat,IL,59.0,clear sky,31.61,34.7642,OlusHome
376,Praia Da Vitoria,PT,62.6,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
379,Ponta Do Sol,PT,55.99,broken clouds,32.6667,-17.1,Hotel do Campo
382,Sayyan,YE,62.13,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
384,Sainte-Marie,RE,87.8,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
389,Maraa,BR,71.28,scattered clouds,-1.8333,-65.3667,
391,Nova Vicosa,BR,74.79,light rain,-17.8919,-39.3719,Pousada Porto do Sol
392,Dicabisagan,PH,75.02,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
393,Port Blair,IN,81.52,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
395,Samarai,PG,85.46,clear sky,-10.6167,150.6667,Nuli Sapi
397,Singaraja,ID,84.7,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
398,Ballina,AU,82.4,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
402,Hervey Bay,AU,84.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
403,Trabzon,TR,51.8,broken clouds,40.9167,39.8333,SANDALS HOTEL
405,Cardoso,BR,71.38,light rain,-20.0819,-49.9142,EmilioTur Pescaria
